"permission","defined","module","sub_module","action","allowed_scopes","definition_count","backend_uses","frontend_uses","sidebar_uses","files"
"complaints.resolve","yes","complaints","workflow","resolve","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.resume_processing","yes","complaints","workflow","resume_processing","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.review_duplicates","yes","complaints","workflow","review_duplicates","GLOBAL","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.start_processing","yes","complaints","workflow","start_processing","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.transfer_branch","yes","complaints","assignment","transfer_branch","GLOBAL","1","2","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.triage","yes","complaints","workflow","triage","GLOBAL","1","1","1","0","packages/api/routes/complaints.ts|packages/web/src/pages/complaints/ComplaintDetailPage.tsx"
"complaints.view_attachments","yes","complaints","attachments","view","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.view_audit","yes","complaints","audit","view","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.view_details","yes","complaints","complaints","view_details","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/policies/complaintPolicy.test.ts|packages/api/routes/complaints.ts"
"complaints.view_list","yes","complaints","complaints","view_list","GLOBAL|BRANCH|ASSIGNED","1","2","0","1","packages/api/policies/complaintPolicy.test.ts|packages/api/routes/complaints.ts|packages/web/src/layout/MainLayout.tsx"
"complaints.view_reports","yes","complaints","reports","view","GLOBAL|BRANCH","1","1","0","0","packages/api/routes/complaints.ts"
"complaints.withdraw","yes","complaints","workflow","withdraw","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/complaints.ts"
"contract_gifts.approve_delivery","yes","contracts","gifts","approve_delivery","GLOBAL|BRANCH|ASSIGNED","1","2","2","0","packages/api/routes/gifts.ts|packages/web/src/components/gifts/GiftRecordActions.tsx"
"contract_gifts.cancel","yes","contracts","gifts","cancel","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/gifts.ts|packages/web/src/components/gifts/GiftRecordActions.tsx"
"contract_gifts.create_delivery_task","yes","contracts","gifts","create_delivery_task","GLOBAL|BRANCH|ASSIGNED","1","2","1","0","packages/api/routes/gifts.ts|packages/web/src/components/gifts/GiftRecordActions.tsx"
"contract_gifts.manage","yes","contracts","gifts","manage","GLOBAL|BRANCH|ASSIGNED","1","5","1","0","packages/api/routes/gifts.ts|packages/web/src/pages/contracts/ContractGiftsPanel.tsx"
"contract_gifts.manual_delivery","yes","contracts","gifts","manual_delivery","GLOBAL|BRANCH|ASSIGNED","1","2","1","0","packages/api/policies/giftPolicy.test.ts|packages/api/routes/gifts.ts|packages/web/src/components/gifts/GiftRecordActions.tsx"
"contract_gifts.reopen_manual_delivery","yes","contracts","gifts","reopen_manual_delivery","GLOBAL","1","3","1","0","packages/api/policies/giftPolicy.test.ts|packages/api/routes/gifts.ts|packages/web/src/components/gifts/GiftRecordActions.tsx"
"contract_gifts.verify_condition","yes","contracts","gifts","verify_condition","GLOBAL|BRANCH|ASSIGNED","1","2","1","0","packages/api/policies/giftPolicy.test.ts|packages/api/routes/gifts.ts|packages/web/src/components/gifts/GiftRecordActions.tsx"
"contract_gifts.view","yes","contracts","gifts","view","GLOBAL|BRANCH|ASSIGNED","1","3","1","0","packages/api/routes/giftCandidateFilterContract.test.ts|packages/api/routes/gifts.ts|packages/web/src/pages/candidates/CandidateDetail.tsx"
"contracts.approve","yes","contracts","contracts","approve","GLOBAL|BRANCH","1","0","0","0",""
"contracts.assign_sale_owner","yes","contracts","contracts","assign_sale_owner","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/contracts.ts|packages/web/src/pages/contracts/ContractForm.tsx"
"contracts.close","yes","contracts","contracts","close","GLOBAL|BRANCH","1","3","1","0","packages/api/routes/contracts.ts|packages/web/src/pages/contracts/ContractDetail.tsx"
"contracts.create","yes","contracts","contracts","create","GLOBAL|BRANCH","1","1","2","0","packages/api/routes/contracts.ts|packages/web/src/pages/contracts/ContractForm.tsx|packages/web/src/pages/contracts/ContractList.tsx"
"contracts.delete","yes","contracts","contracts","delete","GLOBAL|BRANCH","1","2","0","0","packages/api/routes/contracts.ts"
"contracts.edit","yes","contracts","contracts","edit","GLOBAL|BRANCH","1","27","2","0","packages/api/policies/contractDocumentPolicy.test.ts|packages/api/policies/contractDocumentPolicy.ts|packages/api/routes/contractDocuments.ts|packages/api/routes/contracts.ts|packages/api/routes/deviceWarranties.ts|packages/api/routes/dues.ts|packages/api/routes/installedDevices.ts|packages/api/routes/serviceAgreements.ts|packages/web/src/pages/clientProfile/DevicesTab.tsx|packages/web/src/pages/devices/sections/ServiceAgreementsSection.tsx"
"contracts.view_list","yes","contracts","contracts","view_list","GLOBAL|BRANCH","1","53","4","1","packages/api/policies/contractDocumentPolicy.test.ts|packages/api/policies/contractDocumentPolicy.ts|packages/api/routes/contractDocuments.ts|packages/api/routes/contracts.ts|packages/api/routes/customerPreOffers.ts|packages/api/routes/deviceWarranties.ts|packages/api/routes/dues.ts|packages/api/routes/installedDevices.ts|packages/api/routes/serviceAgreements.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx|packages/web/src/pages/contracts/ContractList.tsx"
"departments.lookup","yes","branches","departments","lookup","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/routes/departments.ts"
"departments.manage","yes","branches","departments","manage","GLOBAL|BRANCH","2","5","1","0","packages/api/routes/departments.ts|packages/web/src/pages/Departments.tsx"
"departments.view_list","yes","branches","departments","view_list","GLOBAL|BRANCH","2","2","1","1","packages/api/routes/departments.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/Departments.tsx"
"device_models.lookup","yes","devices","device_models","lookup","GLOBAL","1","2","0","0","packages/api/routes/deviceModels.ts"
"device_models.manage","yes","devices","device_models","manage","GLOBAL","1","5","2","1","packages/api/routes/deviceModels.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/DeviceDetail.tsx|packages/web/src/pages/DeviceManagement.tsx"
"device_models.task_lookup","yes","devices","device_models","task_lookup","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/routes/deviceModels.ts"
"devices.department_availability.manage","yes","devices","department_availability","manage","GLOBAL|BRANCH","1","1","2","0","packages/api/routes/departments.ts|packages/web/src/pages/Departments.tsx"
"devices.department_availability.view","yes","devices","department_availability","view","GLOBAL|BRANCH","1","0","1","0","packages/web/src/pages/Departments.tsx"
"devices.discounts.manage","yes","devices","discounts","manage","GLOBAL","2","4","2","0","packages/api/routes/deviceModels.ts|packages/web/src/pages/DeviceDetail.tsx"
"devices.discounts.view","yes","devices","discounts","view","GLOBAL","1","1","1","0","packages/api/routes/deviceModels.ts|packages/web/src/pages/DeviceDetail.tsx"
"devices.nav","yes","devices","navigation","nav","GLOBAL|BRANCH","1","0","0","1","packages/web/src/layout/MainLayout.tsx"
"devices.prices.manage","yes","devices","prices","manage","GLOBAL","1","2","2","0","packages/api/routes/deviceModels.ts|packages/web/src/pages/DeviceDetail.tsx"
"devices.prices.view","yes","devices","prices","view","GLOBAL","1","1","1","0","packages/api/routes/deviceModels.ts|packages/web/src/pages/DeviceDetail.tsx"
"devices.view","no","","","","","0","0","0","1","packages/web/src/layout/MainLayout.tsx"
"employees.create","yes","employees","records","create","GLOBAL|BRANCH","1","8","2","0","packages/api/routes/adminApplications.ts|packages/api/routes/employees.ts|packages/web/src/pages/Employees.tsx|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"employees.delete","yes","employees","records","delete","GLOBAL|BRANCH","1","2","0","0","packages/api/routes/employees.ts"
"employees.direct_manager_branch_fallback","yes","employees","lookups","direct_manager_branch_fallback","GLOBAL|BRANCH","1","0","0","0",""
"employees.direct_manager_eligible","yes","employees","lookups","direct_manager_eligible","GLOBAL|BRANCH","1","0","0","0",""
"employees.edit","yes","employees","records","edit","GLOBAL|BRANCH","1","9","1","0","packages/api/routes/employees.ts|packages/web/src/pages/EmployeeDetail.tsx"
"employees.lookup","yes","employees","lookups","lookup","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/routes/employees.ts"
"employees.manager_lookup","yes","employees","lookups","manager_lookup","GLOBAL|BRANCH","1","2","0","0","packages/api/routes/employees.ts"
"employees.nav","yes","employees","navigation","nav","GLOBAL|BRANCH","1","0","0","0",""
"employees.view_list","yes","employees","records","view_list","GLOBAL|BRANCH","1","9","2","0","packages/api/routes/employees.ts|packages/web/src/pages/Employees.tsx"
"field_visits.create_instant","yes","field_visits","create_instant","create","ASSIGNED","1","1","1","0","packages/api/routes/fieldVisits.ts|packages/web/src/pages/visits/MyVisitsPage.tsx"
